financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,scaffold_lr,scaffold_level,seed,default_scenario,capital_per_financier,borrower_count
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5041705.598487549,5000000.0,5041705.598487747,41705.5984877469,0.0,0.0,6.0,0.0,194,194,53,0.2731958762886597,6791734.65974959,150854.51601437994,0.0222114855146508,0.0301709032028759,0,2245,0.25,0p25,436570,medium_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5287838.025435437,5000000.0,5287838.025435618,287838.0254356181,0.0,0.0,6.0,0.0,1035,1035,258,0.2492753623188406,36237563.03428644,600283.0693239926,0.0165652162855441,0.1200566138647985,0,2245,0.25,0p25,436570,medium_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5953276.648262252,5000000.0,5953276.648262788,953276.6482627876,0.0,0.0,7.0,0.0,1862,1862,140,0.075187969924812,64526191.181090064,302339.57491942466,0.0046855326400859,0.0604679149838849,0,2245,0.25,0p25,436570,medium_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5673436.12533331,5000000.0,5673436.125333677,673436.125333677,0.0,0.0,8.0,0.0,1052,1052,123,0.1169201520912547,36497299.87296845,299938.74167239567,0.0082181077152653,0.0599877483344791,0,2236,0.25,0p25,831197,medium_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5562346.592819921,5000000.0,5562346.592820139,562346.5928201387,0.0,0.0,9.0,0.0,1037,1037,198,0.1909353905496625,36672781.19579485,423051.01149557,0.0115358311450913,0.0846102022991139,0,2236,0.25,0p25,831197,medium_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5061441.710228515,5000000.0,5061441.710228591,61441.710228591226,0.0,0.0,24.0,0.0,73,73,15,0.2054794520547945,2570529.699772313,36924.503517829406,0.0143645504353052,0.0073849007035658,0,2236,0.25,0p25,831197,medium_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5438944.373144985,5000000.0,5438944.37314613,438944.3731461298,0.0,0.0,15.0,0.0,713,713,101,0.1416549789621318,25161527.492721908,249809.872029897,0.0099282474842656,0.0499619744059794,0,2236,0.25,0p25,831197,medium_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5989773.064151923,5000000.0,5989773.064149916,989773.0641499162,0.0,0.0,28.0,0.0,1762,1762,189,0.1072644721906923,62385782.5044621,441544.0365620362,0.0070776388278924,0.0883088073124072,0,2236,0.25,0p25,831197,medium_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5911645.205669527,5000000.0,5911645.205669295,911645.205669295,0.0,0.0,21.0,0.0,1108,1108,73,0.065884476534296,38243828.53092216,154415.39853842286,0.0040376553412681,0.0308830797076845,0,2236,0.25,0p25,831197,medium_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5334223.272367054,5000000.0,5334223.272366119,334223.2723661186,0.0,0.0,8.0,0.0,1239,1239,194,0.1565778853914447,43316427.10228153,517866.27230099327,0.0119554244646765,0.1035732544601986,0,2253,0.25,0p25,709098,high_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5086667.630555717,5000000.0,5086667.630557169,86667.6305571692,0.0,0.0,8.0,0.0,1001,1001,316,0.3156843156843157,35162713.12563305,664973.1159148918,0.0189113141963478,0.1329946231829783,0,2253,0.25,0p25,709098,high_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5386857.73324341,5000000.0,5386857.733243505,386857.7332435045,0.0,0.0,7.0,0.0,1128,1128,171,0.151595744680851,39734890.0343204,443072.1410838457,0.0111507076199568,0.0886144282167691,0,2253,0.25,0p25,709098,high_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5071787.766736643,5000000.0,5071787.766735885,71787.76673588529,0.0,0.0,8.0,0.0,382,382,70,0.1832460732984293,13321245.170049278,232231.2873292569,0.0174331516584795,0.0464462574658513,0,2253,0.25,0p25,709098,high_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5146564.318734843,5000000.0,5146564.318736533,146564.3187365327,0.0,0.0,6.0,0.0,747,747,195,0.2610441767068273,26091108.30605845,462887.0503290429,0.0177411800564086,0.0925774100658085,0,2253,0.25,0p25,709098,high_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5352072.086249644,5000000.0,5352072.086250057,352072.08625005744,0.0,0.0,6.0,0.0,777,777,79,0.1016731016731016,27170027.44199681,220319.38136595784,0.0081089127287891,0.0440638762731915,0,2253,0.25,0p25,709098,high_default,5000000.0,50
Fin_rl_1,pure_rl,rl,4906262.314483803,5000000.0,4906262.314483495,-93737.6855165055,93737.6855165055,0.0187475371033011,9.0,0.0,203,203,84,0.4137931034482758,7056511.209428408,270994.8635168876,0.0384035191717407,0.0541989727033775,0,2269,0.25,0p25,436570,high_default,5000000.0,50
Fin_rl_2,pure_rl,rl,4912326.080680544,5000000.0,4912326.0806803545,-87673.9193196455,87673.9193196455,0.0175347838639291,8.0,0.0,571,571,269,0.4711033274956217,19941654.323693816,636390.3343553663,0.0319126148726404,0.1272780668710732,0,2269,0.25,0p25,436570,high_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5379844.3433704,5000000.0,5379844.343371127,379844.3433711268,0.0,0.0,9.0,0.0,806,806,105,0.130272952853598,28112576.94719843,307759.4597233906,0.0109473941254631,0.0615518919446781,0,2269,0.25,0p25,436570,high_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5134927.395802815,5000000.0,5134927.395804016,134927.39580401592,0.0,0.0,9.0,0.0,757,757,147,0.1941875825627476,26499585.427605875,453582.52529763314,0.0171165894854005,0.0907165050595266,0,2269,0.25,0p25,436570,high_default,5000000.0,50
