financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,non_iid_level,non_iid_tag,seed,default_scenario,capital_per_financier
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,1718731.7789341772,1000000.0,1718731.77893404,718731.7789340401,0.0,0.0,6.0,0.0,529,529,59,0.11153119092627599,20418818.80996675,116597.58746961175,0.005710300314369733,0.11659758746961175,0,2245,0.0,0p00,709098,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,1928833.6556524355,1000000.0,1928833.6556524811,928833.6556524811,0.0,0.0,6.0,0.0,668,668,73,0.1092814371257485,24756352.020494472,151350.0415537706,0.006113584159268535,0.1513500415537706,0,2245,0.0,0p00,709098,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,1578991.0829153976,1000000.0,1578991.0829153717,578991.0829153717,0.0,0.0,6.0,0.0,635,635,94,0.14803149606299212,21798307.698389605,163179.3243720364,0.007485871225870053,0.16317932437203642,0,2245,0.0,0p00,709098,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,1455236.8507936718,1000000.0,1455236.8507936548,455236.8507936548,0.0,0.0,6.0,0.0,748,748,52,0.06951871657754011,22207346.337823976,58982.33804583154,0.0026559831664971015,0.058982338045831535,0,2245,0.0,0p00,709098,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,1531379.0906827971,1000000.0,1531379.0906827617,531379.0906827617,0.0,0.0,6.0,0.0,675,675,59,0.0874074074074074,21848673.701459516,91480.42373699375,0.004187001233437925,0.09148042373699375,0,2245,0.0,0p00,709098,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,1659850.2371610638,1000000.0,1659850.237161113,659850.237161113,0.0,0.0,6.0,0.0,630,630,48,0.0761904761904762,22322522.851525895,87779.5095617659,0.00393232925084745,0.08777950956176589,0,2245,0.0,0p00,709098,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,1430873.972462771,1000000.0,1430873.9724628837,430873.9724628837,0.0,0.0,6.0,0.0,597,597,162,0.271356783919598,20326113.793129195,221911.04272562807,0.010917534211613058,0.22191104272562806,0,2267,0.0,0p00,436570,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,1413669.0746387786,1000000.0,1413669.0746387274,413669.07463872735,0.0,0.0,6.0,0.0,528,528,134,0.2537878787878788,19312792.201735247,248865.09311992925,0.012886023446033288,0.24886509311992924,0,2267,0.0,0p00,436570,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,1785690.5712925442,1000000.0,1785690.571292485,785690.5712924851,0.0,0.0,6.0,0.0,585,585,72,0.12307692307692308,21711521.201552518,138552.88619551106,0.006381537475393645,0.13855288619551107,0,2267,0.0,0p00,436570,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,1796488.5600664404,1000000.0,1796488.5600664655,796488.5600664655,0.0,0.0,6.0,0.0,723,723,25,0.034578146611341634,23570226.930215716,32284.740037265394,0.0013697254647929654,0.03228474003726539,0,2267,0.0,0p00,436570,low_default,1000000.0
